EPERM           1  Operation not permitted
ENOENT          2  No such file or directory
ESRCH           3  No such process
EINTR           4  Interrupted system call
EIO             5  Input/output error
E2BIG           7  Argument list too long
ENOEXEC         8  Exec format error
EBADF           9  Bad file descriptor
ECHILD          10 No child processes
ENOMEM          12 Cannot allocate memory
EACCES          13 Permission denied
EFAULT          14 Bad address
EEXIST          17 File exists
ENOTDIR         20 Not a directory
EISDIR          21 Is a directory
EINVAL          22 Invalid argument
ENFILE          23 Too many open files in system
EMFILE          24 Too many open files
EFBIG           27 File too large
ENOSPC          28 No space left on device
EROFS           30 Read-only file system
EMLINK          31 Too many links
EPIPE           32 Broken pipe
ENAMETOOLONG    36 File name too long
ESTRPIPE        86 Streams pipe error
